category,question
technicalFE,"In as much detail as possible, explain how you would localize an application."
technicalFE,Tell me two advantages of testing your code.
technicalFE,Name three strategies for fixing cross-browser inconsistencies.
technicalFE,What are some tools and strategies you use to prevent shipping unstable code to production?
technicalFE,What factors influence whether you’ll take a progressive enhancement vs. graceful degradation approach to building an application?
technicalFE,Define the term ‘MVC’ and explain how an application is architected when following MVC patterns.
technicalFE,What does CORS stand for and what issue does it address?
technicalFE,"In as much detail as possible, describe the request-response cycle."
technicalFE,Tell me 3 new features of CSS3.
technicalFE,Can you describe what responsive design is to you and how you would implement it?
technicalFE,What’s the difference between display: inline and display: inline-block?
technicalFE,What is a pseudo class? What are they used for?
technicalFE,Describe z-index and how stacking context is formed.
technicalFE,"If you have two elements inside of an outer containing element, one with float: left; and the other with float: right, how can you ensure that the containing element expands around the floated elements and does not collapse?"
technicalFE,"Why is it, in general, a good idea to leave the global scope of a website as-is and never touch it?"
technicalFE,What does event bubbling or event propagation mean?
technicalFE,What’s the difference between undefined and null
technicalFE,"In as much detail as possible, explain how JSON Web Tokens work."
technicalFE,What is Ajax?
technicalFE,"What is ""use strict"";? What are the advantages and disadvantages to using it?"
technicalFE,Explain why the following doesn’t work as an IIFE: function foo(){ }();. What needs to be changed to properly make it an IIFE? Why?
technicalFE,What are the pros and cons of using Promises instead of callbacks?
technicalFE,"What is a closure, and how/why would you use one?"
technicalFE,What advantages does React offer? What about disadvantages?
technicalFE,Why is it generally a good idea to position CSS <link>s between <head></head> and JS <script>s just before </body>? Do you know any exceptions?
technicalFE,"In an HTML file, what does the ‘doctype’ keyword do?"
technicalFE,Give an example of a self-closing HTML tag.
technicalFE,What’s the difference between window.onload and onDocumentReady
technicalFE,Give an example of an element that is considered a ‘block-level’ element? An example of an inline element? What’s the difference between block-level and inline elements?
technicalFE,What could we use instead of <b> tags for bold and <i> tags for italics to make our HTML more semantic?
technicalFE,"What is the purpose of article, section, header and footer tags? Please explain with an example and why we should not use divs."
technicalFE,What are HTML data attributes?
technicalFE,What is the event loop?
technicalFE,What are some popular NodeJS Modules?
technicalFE,What is the concept of state in React?
technicalFE,What is the virtual DOM in React?
technicalFE,How is an array different from an object?
technicalFE,What is the DOM? How is the virtual dom different?
technicalFE,What does npm eject do?
technicalFE,What does npm build do?
technicalFE,How do you make sure your project meets the requirements you have received?
technicalFE,What IDE do you use?
technicalFE,How does json work?
technicalFE,What is a restful api?
technicalFE,What is a react component?
technicalFE,Whats the difference between map state to props and map dispatch to props?
technicalFE,What problems does redux solve?
technicalFE,What are libraries you have used?
technicalFE,What are frameworks you have used?
technicalFE,How are props different from state?
technicalFE,Do you know the concept of SCRUM?
technicalFE,What is JSX?
technicalFE,How is JSX different from HTML?
technicalFE,Explain how a branch works
technicalFE,What can you tell me about Rest APIs?
technicalFE,Do you know what a bearer token is in terms of JWT?
technicalFE,What is CORS?
technicalFE,Whats the difference between ES5 and ES6?
technicalFE,What method would you use to search an array and return a value?
technicalFE,How would you find all the values for a specific key in an array of objects?
technicalFE,How do you interact with APIs on the front end?
technicalFE,Whats the difference between an HTTP request and response?
technicalFE,What does a 200 status code mean?
technicalFE,What does a 400 status code mean?
technicalFE,What is chaining in javascript?
technicalFE,How do you stay up-to-date on JS and React news/improvements?
technicalFE,Why use cookies?
technicalFE,Have you used local storage?
technicalFE,Whats the difference between let and const?
technicalFE,Whats your experience with React Hooks? Why use them?
technicalBE,What is the difference between Array#map and Array#each?
technicalBE,Name 4 ruby enumerables excluding each and map and give a brief example of what’s unique about each.
